INFO 2016-10-18 20:39:00,011 Overall VALIDATION loss is: 2.36371397972
INFO 2016-10-18 20:39:00,011 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:00,458 Mean loss in 4th epoch is: 2.35568451881
INFO 2016-10-18 20:39:00,806 Overall VALIDATION loss is: 2.33636856079
INFO 2016-10-18 20:39:00,806 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:02,399 Mean loss in 5th epoch is: 2.33068418503
INFO 2016-10-18 20:39:02,782 Overall VALIDATION loss is: 2.30293178558
INFO 2016-10-18 20:39:02,782 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:04,384 Mean loss in 6th epoch is: 2.29241323471
INFO 2016-10-18 20:39:04,753 Overall VALIDATION loss is: 2.27109575272
INFO 2016-10-18 20:39:04,753 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:06,354 Mean loss in 7th epoch is: 2.32501626015
INFO 2016-10-18 20:39:06,887 Overall VALIDATION loss is: 2.42720556259
INFO 2016-10-18 20:39:06,887 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:07,350 Mean loss in 8th epoch is: 2.34859991074
INFO 2016-10-18 20:39:07,724 Overall VALIDATION loss is: 2.40874934196
INFO 2016-10-18 20:39:07,724 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:08,190 Mean loss in 9th epoch is: 2.34785079956
INFO 2016-10-18 20:39:08,696 Overall VALIDATION loss is: 2.34343671799
INFO 2016-10-18 20:39:08,696 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:09,143 Mean loss in 10th epoch is: 2.33925294876
INFO 2016-10-18 20:39:09,606 Overall VALIDATION loss is: 2.31692409515
INFO 2016-10-18 20:39:09,606 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:10,059 Mean loss in 11th epoch is: 2.29988431931
INFO 2016-10-18 20:39:10,450 Overall VALIDATION loss is: 2.26655769348
INFO 2016-10-18 20:39:10,451 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:12,040 Mean loss in 12th epoch is: 2.25526165962
